serial,GPS_date_YYYY-MM-DD,GPS_utc_HH:MM:SS,GPS_YYYY-MM-DD_HH:MM:SS,lat,lon,hdop,fix,cog,speed,alt,data_voltage,solar_charge,solar_current,nsats,vdop,geo,activity,inactivity,temperature,time_to_fix
89460800120113349946,2022-05-15,06:31:21,2022-05-15 06:31:21,0.0,0.0,8.6,1,0,0.0,0.0,4.13,0.01,0.0,4,10.78,,569,,22.0,120
89460800120113349946,2022-05-15,02:30:38,2022-05-15 02:30:38,38.504139,-106.020248,1.81,3,0,0.89,2373.0,4.14,0.54,0.0,4,5.04,,3745,,23.0,86
89460800120113349946,2022-05-14,23:36:13,2022-05-14 23:36:13,38.503483,-106.01857,5.68,3,0,0.78,2358.0,4.15,4.72,1.0,4,7.49,,717,,33.0,120
89460800120113349946,2022-05-14,19:34:59,2022-05-14 19:34:59,38.502724,-106.017822,2.43,3,0,0.13,2356.0,4.15,5.11,2.0,5,3.02,,2073,,30.0,71
89460800120113349946,2022-05-14,15:35:02,2022-05-14 15:35:02,38.504593,-106.016289,1.41,3,0,0.03,2348.0,4.13,5.34,2.0,6,4.3,,1977,,24.0,95
89460800120113349946,2022-05-14,11:33:42,2022-05-14 11:33:42,38.51556,-106.016708,2.04,3,0,0.16,2238.0,4.12,0.63,0.0,6,2.52,,16,,15.0,15
89460800120113349946,2022-05-14,10:30:35,2022-05-14 10:30:35,38.515434,-106.016846,1.24,3,0,0.1,2229.0,4.13,0.01,0.0,7,1.93,,612,,14.0,82
89460800120113349946,2022-05-14,06:29:59,2022-05-14 06:29:59,38.519123,-106.017052,3.43,3,0,0.49,2199.0,4.14,0.01,0.0,5,3.38,,1581,,19.0,69
89460800120113349946,2022-05-14,02:29:36,2022-05-14 02:29:36,38.504494,-106.019333,3.74,3,0,0.13,2356.0,4.15,0.57,0.0,4,5.44,,3879,,21.0,66
89460800120113349946,2022-05-13,23:35:05,2022-05-13 23:35:05,38.502449,-106.020256,1.91,3,0,0.05,2375.0,4.14,4.97,1.0,6,2.02,,2193,,26.0,46
89460800120113349946,2022-05-13,19:35:04,2022-05-13 19:35:04,38.50246,-106.020042,1.66,3,0,0.27,2373.0,4.13,5.3,1.0,5,2.29,,1045,,28.0,57
89460800120113349946,2022-05-13,15:34:23,2022-05-13 15:34:23,38.502144,-106.018509,2.63,3,0,0.07,2382.0,4.12,4.98,0.0,4,2.43,,776,,25.0,39
89460800120113349946,2022-05-13,11:33:31,2022-05-13 11:33:31,38.501698,-106.020073,2.29,3,0,0.23,2366.0,4.1,1.0,0.0,4,3.52,,36,,15.0,16
89460800120113349946,2022-05-13,10:28:54,2022-05-13 10:28:54,38.502911,-106.020912,1.27,3,0,0.01,2379.0,4.1,0.0,0.0,4,3.79,,190,,13.0,48
89460800120113349946,2022-05-13,06:29:23,2022-05-13 06:29:23,38.503757,-106.021309,1.41,3,0,0.08,2374.0,4.11,0.01,0.0,7,2.13,,163,,16.0,94
89460800120113349946,2022-05-13,02:28:36,2022-05-13 02:28:36,38.503304,-106.021973,3.67,3,0,0.23,2377.0,4.12,0.31,0.0,4,4.72,,880,,19.0,74
89460800120113349946,2022-05-12,23:36:29,2022-05-12 23:36:29,38.502441,-106.021194,1.19,3,0,0.21,2375.0,4.13,4.89,0.0,6,1.9,,269,,25.0,117
89460800120113349946,2022-05-12,19:36:19,2022-05-12 19:36:19,0.0,0.0,2.58,1,0,0.0,0.0,4.1,4.93,1.0,3,1.0,,89,,28.0,120
89460800120113349946,2022-05-12,15:34:58,2022-05-12 15:34:58,38.502529,-106.019966,3.32,3,0,0.07,2365.0,4.09,5.15,0.0,4,2.23,,2670,,20.0,39
