serial,GPS_date_YYYY-MM-DD,GPS_utc_HH:MM:SS,GPS_YYYY-MM-DD_HH:MM:SS,lat,lon,hdop,fix,cog,speed,alt,data_voltage,solar_charge,solar_current,nsats,vdop,geo,activity,inactivity,temperature,time_to_fix
89460800120113347544,2022-06-07,19:20:45,2022-06-07 19:20:45,0.0,0.0,6.04,1,0,0.0,0.0,3.77,4.49,0.0,3,1.0,,620,,29.0,120
89460800120113347544,2022-06-06,23:22:17,2022-06-06 23:22:17,0.0,0.0,2.39,1,0,0.0,0.0,3.78,4.41,0.0,3,1.0,,1874,,31.0,120
89460800120113347544,2022-06-06,19:21:05,2022-06-06 19:21:05,38.502525,-106.019936,2.31,3,0,0.07,2362.0,3.78,4.66,0.0,6,4.29,,1225,,33.0,74
89460800120113347544,2022-06-06,15:21:36,2022-06-06 15:21:36,0.0,0.0,1.83,1,0,0.0,0.0,3.78,3.98,0.0,5,1.0,,1700,,28.0,120
89460800120113347544,2022-06-06,06:47:59,2022-06-06 06:47:59,38.519863,-106.012428,1.29,3,0,0.04,2196.0,3.78,0.01,0.0,6,2.22,,1122,,15.0,86
89460800120113347544,2022-06-05,19:21:35,2022-06-05 19:21:35,38.502567,-106.01989,2.52,3,0,0.27,2377.0,3.78,4.83,0.0,6,2.39,,1572,,31.0,74
89460800120113347544,2022-06-05,15:20:35,2022-06-05 15:20:35,38.50301,-106.020058,2.23,3,0,0.02,2368.0,3.78,4.88,0.0,4,2.19,,6070,,25.0,43
89460800120113347544,2022-06-05,11:20:38,2022-06-05 11:20:38,38.516106,-106.019775,3.96,3,0,0.55,2217.0,3.78,0.61,0.0,4,4.24,,563,,17.0,48
89460800120113347544,2022-06-05,06:46:23,2022-06-05 06:46:23,38.519871,-106.012901,2.02,3,0,0.03,2184.0,3.78,0.01,0.0,5,2.68,,880,,17.0,63
89460800120113347544,2022-06-05,02:47:04,2022-06-05 02:47:04,0.0,0.0,3.19,1,0,0.0,0.0,3.78,0.2,0.0,4,1.0,,4519,,26.0,120
89460800120113347544,2022-06-04,23:21:00,2022-06-04 23:21:00,38.513527,-106.013374,1.67,3,0,0.01,2238.0,3.79,4.81,0.0,5,2.89,,967,,33.0,62
89460800120113347544,2022-06-04,15:21:18,2022-06-04 15:21:18,0.0,0.0,5.14,1,0,0.0,0.0,3.78,4.93,0.0,3,1.0,,2739,,25.0,120
89460800120113347544,2022-06-04,11:21:04,2022-06-04 11:21:04,38.509445,-106.014244,2.08,3,0,0.21,2301.0,3.78,0.63,0.0,5,3.55,,116,,15.0,109
89460800120113347544,2022-06-03,15:20:34,2022-06-03 15:20:34,38.50412,-106.018639,1.71,3,0,0.03,2353.0,3.79,5.23,0.0,6,1.73,,2596,,21.0,37
89460800120113347544,2022-06-03,11:21:43,2022-06-03 11:21:43,38.517765,-106.011414,1.47,3,0,1.33,2233.0,3.77,0.4,0.0,4,3.84,,139,,15.0,120
89460800120113347544,2022-06-03,10:46:31,2022-06-03 10:46:31,0.0,0.0,3.38,1,0,0.0,0.0,3.78,0.01,0.0,3,1.0,,581,,16.0,120
89460800120113347544,2022-06-03,06:46:18,2022-06-03 06:46:18,0.0,0.0,2.2,1,0,0.0,0.0,3.78,0.01,0.0,3,1.0,,1873,,18.0,120
89460800120113347544,2022-06-02,11:20:44,2022-06-02 11:20:44,38.516857,-106.008415,2.08,3,0,1.53,2204.0,3.78,0.2,0.0,4,4.68,,874,,15.0,18
89460800120113347544,2022-06-02,10:45:43,2022-06-02 10:45:43,0.0,0.0,5.58,1,0,0.0,0.0,3.77,0.01,0.0,4,34.79,,1150,,13.0,120
89460800120113347544,2022-06-01,23:22:43,2022-06-01 23:22:43,38.51136,-106.010468,4.57,3,0,0.1,2324.0,3.78,4.86,0.0,5,8.77,,596,,20.0,120
89460800120113347544,2022-06-01,19:21:30,2022-06-01 19:21:30,38.510548,-106.011589,1.42,3,0,0.14,2281.0,3.79,5.27,0.0,4,4.03,,782,,21.0,60
89460800120113347544,2022-06-01,15:22:15,2022-06-01 15:22:15,0.0,0.0,3.13,1,0,0.0,0.0,3.77,5.09,0.0,3,1.0,,2216,,19.0,120
89460800120113347544,2022-06-01,11:20:23,2022-06-01 11:20:23,38.517841,-106.006363,3.87,3,0,0.52,2192.0,3.78,0.08,0.0,4,4.11,,257,,15.0,19
89460800120113347544,2022-06-01,10:45:50,2022-06-01 10:45:50,38.517437,-106.005493,4.21,3,0,0.02,2207.0,3.77,0.01,0.0,4,2.64,,1587,,16.0,120
89460800120113347544,2022-06-01,02:45:24,2022-06-01 02:45:24,38.518543,-106.009277,1.67,3,0,0.87,2172.0,3.79,0.25,0.0,4,2.61,,2744,,17.0,117
89460800120113347544,2022-05-31,15:23:07,2022-05-31 15:23:07,38.504139,-106.019455,2.0,3,0,0.22,2367.0,3.78,4.96,0.0,5,4.49,,284,,18.0,77
89460800120113347544,2022-05-31,11:22:05,2022-05-31 11:22:05,38.509987,-106.013695,1.29,3,0,0.22,2319.0,3.77,0.14,0.0,5,2.31,,0,,13.0,42
89460800120113347544,2022-05-31,10:44:38,2022-05-31 10:44:38,0.0,0.0,1.69,1,0,0.0,0.0,3.78,0.0,0.0,4,3.87,,1382,,14.0,120
89460800120113347544,2022-05-31,06:44:24,2022-05-31 06:44:24,38.518162,-106.009865,1.43,3,0,0.28,2197.0,3.78,0.0,0.0,5,3.34,,1118,,9.0,109
89460800120113347544,2022-05-30,19:23:05,2022-05-30 19:23:05,38.514194,-106.009506,1.29,3,0,0.03,2224.0,3.78,4.69,0.0,6,1.91,,942,,19.0,80
89460800120113347544,2022-05-30,11:23:18,2022-05-30 11:23:18,38.518723,-106.009949,5.53,3,0,0.63,2176.0,3.77,0.44,0.0,4,9.42,,107,,9.0,120
89460800120113347544,2022-05-30,10:42:35,2022-05-30 10:42:35,38.518864,-106.010368,1.84,3,0,0.02,2190.0,3.77,0.0,0.0,4,3.74,,879,,9.0,49
89460800120113347544,2022-05-30,06:43:01,2022-05-30 06:43:01,38.520271,-106.00914,1.34,3,0,0.03,2163.0,3.78,0.01,0.0,5,3.07,,1267,,13.0,78
89460800120113347544,2022-05-30,02:43:31,2022-05-30 02:43:31,0.0,0.0,1.8,1,0,0.0,0.0,3.78,0.07,0.0,3,1.0,,5823,,16.0,120
89460800120113347544,2022-05-29,23:24:30,2022-05-29 23:24:30,0.0,0.0,2.25,1,0,0.0,0.0,3.78,4.65,0.0,3,1.0,,2112,,26.0,120
89460800120113347544,2022-05-29,11:23:23,2022-05-29 11:23:23,38.513691,-106.011139,1.72,3,0,0.92,2243.0,3.78,0.49,0.0,4,2.87,,568,,19.0,79
89460800120113347544,2022-05-29,06:43:06,2022-05-29 06:43:06,38.517532,-106.010674,2.27,3,0,0.36,2172.0,3.79,0.0,0.0,5,5.03,,1418,,15.0,101
89460800120113347544,2022-05-29,02:43:10,2022-05-29 02:43:10,0.0,0.0,5.4,1,0,0.0,0.0,3.79,0.16,0.0,4,6.39,,3636,,21.0,120
89460800120113347544,2022-05-28,19:23:53,2022-05-28 19:23:53,38.504494,-106.015648,3.33,3,0,0.06,2334.0,3.79,4.89,0.0,5,4.13,,260,,33.0,72
89460800120113347544,2022-05-28,11:22:37,2022-05-28 11:22:37,38.517441,-106.010956,1.64,3,0,0.98,2210.0,3.78,0.41,0.0,5,2.76,,39,,12.0,16
89460800120113347544,2022-05-28,10:41:36,2022-05-28 10:41:36,38.517361,-106.01059,2.1,3,0,0.03,2190.0,3.78,0.0,0.0,5,2.76,,368,,13.0,62
