"","DateTime","Lat","Long","hdop","alt","nsats","vdop","temp","ID","X","Y"
"1",2022-04-08 05:55:08,38.51881,-106.015572,3.24,2219,4,4.78,2,"F46538",411466.265284624,4263869.29327731
"2",2022-04-08 03:55:08,38.519524,-106.015335,2.81,2188,4,3.6,0,"F46538",411487.80102571,4263948.29483942
"3",2022-04-07 21:53:53,38.518864,-106.014626,1.15,2205,6,1.72,8,"F46538",411548.802041471,4263874.37539517
"4",2022-04-07 19:54:35,38.518372,-106.012222,1.52,2197,6,2.36,12,"F46538",411757.777747813,4263817.47140532
"5",2022-04-07 18:22:41,38.510662,-106.013168,1.99,2289,5,2.38,15,"F46538",411665.884755868,4262962.83320398
"6",2022-04-07 16:22:29,38.510532,-106.013161,1.38,2295,6,1.81,17,"F46538",411666.336223806,4262948.40094275
"7",2022-04-07 12:22:53,38.510681,-106.013084,1.76,2285,4,2.52,16,"F46538",411673.231771945,4262964.86090785
"8",2022-04-07 10:21:55,38.510677,-106.013184,2.15,2299,4,3.26,16,"F46538",411664.508075224,4262964.51305106
"9",2022-04-07 06:20:19,38.515663,-106.016884,1.77,2226,5,1.42,0,"F46538",411348.027289354,4263521.3472825
"10",2022-04-07 05:53:59,38.515602,-106.016914,1.62,2240,6,1.72,2,"F46538",411345.337005022,4263514.60727757
"11",2022-04-06 23:54:34,38.521481,-106.015343,1.83,2202,5,3.81,7,"F46538",411489.500568386,4264165.46279629
"12",2022-04-06 21:53:33,38.522007,-106.015335,1.84,2218,4,5.19,6,"F46538",411490.842234031,4264223.82317188
"13",2022-04-06 19:54:09,38.51873,-106.016907,4.01,2202,5,3.84,9,"F46538",411349.784120598,4263861.70170156
"14",2022-04-06 18:22:41,38.51582,-106.017136,2.04,2211,5,2.08,12,"F46538",411326.250014796,4263539.01178741
"15",2022-04-06 16:22:53,38.514851,-106.017654,1.3,2220,5,2.31,13,"F46538",411279.900370875,4263431.98533256
"16",2022-04-06 12:23:05,38.515305,-106.015434,2.23,2230,4,3.51,16,"F46538",411474.002856281,4263480.22522353
"17",2022-03-30 23:47:58,38.51852,-106.016777,2.62,2197,4,4.57,4,"F46538",411360.859748986,4263838.27359538
"18",2022-03-30 21:47:31,38.519672,-106.016701,2.92,2200,5,5.87,4,"F46538",411368.89815688,4263966.03306141
"19",2022-03-30 19:48:25,38.519306,-106.017105,1.89,2196,4,3.73,8,"F46538",411333.229491654,4263925.80888102
"20",2022-03-30 16:34:29,38.513771,-106.013458,3,2245,5,3.66,7,"F46538",411644.400384219,4263308.10412248
"21",2022-03-30 12:33:41,38.514095,-106.013985,3.12,2245,5,5.78,15,"F46538",411598.850475259,4263344.56328803
"22",2022-03-30 10:33:08,38.5135,-106.013672,1.55,2281,5,2.21,9,"F46538",411625.411602213,4263278.23794775
"23",2022-03-30 08:33:34,38.514095,-106.014648,2.43,2245,5,2.68,8,"F46538",411541.047497897,4263345.20056853
"24",2022-03-30 03:47:03,38.516296,-106.015823,1.89,2216,5,3.14,6,"F46538",411441.303092721,4263590.56674186
"25",2022-03-30 01:47:23,38.516331,-106.015717,1.38,2227,7,1.86,6,"F46538",411450.587194175,4263594.34850979
"26",2022-03-29 21:47:30,38.51606,-106.016907,1.91,2235,5,3.75,11,"F46538",411346.509051686,4263565.42287854
"27",2022-03-29 16:36:57,38.510056,-106.01255,1.83,2297,5,3.2,15,"F46538",411719.026978828,4262894.99484124
"28",2022-03-29 14:36:35,38.510265,-106.011627,2,2304,5,2.67,17,"F46538",411799.757266264,4262917.30145158
"29",2022-03-29 10:35:59,38.508801,-106.013977,1.74,2286,5,2.45,11,"F46538",411593.073799975,4262757.10308429
"30",2022-03-29 08:36:24,38.507324,-106.01313,1.65,2314,6,2.18,12,"F46538",411665.119423879,4262592.39332382
"31",2022-03-29 06:36:02,38.507603,-106.013885,2.29,2332,5,2.87,9,"F46538",411599.630491244,4262624.07783163
"32",2022-03-29 05:47:02,38.507603,-106.013962,3.7,2321,5,3.67,10,"F46538",411592.916722074,4262624.15181203
"33",2022-03-29 03:46:23,38.508625,-106.01535,3.25,2315,5,4.24,8,"F46538",411473.145913719,4262738.8932575
"34",2022-03-28 23:47:01,38.509327,-106.01667,2.68,2325,4,4.7,14,"F46538",411358.91506312,4262818.06203151
"35",2022-03-28 21:45:23,38.509342,-106.016716,1.78,2324,4,1.75,16,"F46538",411354.922727398,4262819.77083449
"36",2022-03-28 19:45:35,38.507629,-106.014664,1.62,2322,5,3.63,19,"F46538",411531.739886429,4262627.71164882
"37",2022-03-28 14:38:11,38.510418,-106.013359,5,2294,4,6.02,25,"F46538",411648.933621277,4262935.94096866
"38",2022-03-28 12:37:04,38.510174,-106.013199,1.99,2314,5,4.18,23,"F46538",411662.585610222,4262908.7117086
"39",2022-03-28 10:36:36,38.5103,-106.012917,3.06,2291,5,2.93,19,"F46538",411687.326746673,4262922.42266987
"40",2022-03-28 03:44:33,38.515682,-106.01709,2.29,2209,4,6.79,8,"F46538",411330.091085286,4263523.65416581
"41",2022-03-28 01:44:37,38.51556,-106.017151,3.45,2217,4,3.76,11,"F46538",411324.62330099,4263510.17513224
"42",2022-03-27 23:44:53,38.516315,-106.016678,2.16,2216,5,1.43,13,"F46538",411366.786351872,4263593.49850704
"43",2022-03-27 21:44:23,38.514984,-106.01635,2.39,2229,4,2.74,17,"F46538",411393.750151961,4263445.48704254
"44",2022-03-27 16:39:08,38.510147,-106.01342,2.31,2339,5,6.12,28,"F46538",411643.283907245,4262905.92784409
"45",2022-03-27 14:40:00,38.509926,-106.013046,5.15,2301,4,6.07,28,"F46538",411675.622484818,4262881.04533155
"46",2022-03-27 12:38:53,38.509987,-106.012894,2.09,2296,4,2.5,26,"F46538",411688.949728769,4262887.66833363
"47",2022-03-27 10:39:06,38.510166,-106.013588,1.29,2320,5,2.36,19,"F46538",411628.659425543,4262908.19754054
"48",2022-03-27 08:39:05,38.513161,-106.015762,3.11,2261,5,3.99,13,"F46538",411442.780265209,4263242.63025976
"49",2022-03-27 05:44:23,38.51577,-106.015533,2.08,2235,5,2.23,8,"F46538",411465.941369193,4263531.9195935
"50",2022-03-27 03:44:23,38.515778,-106.015633,1.58,2238,6,2.21,8,"F46538",411457.232973007,4263532.90356209
"51",2022-03-26 23:44:02,38.515743,-106.017059,2.88,2238,4,2.48,11,"F46538",411332.868561845,4263530.39320206
"52",2022-03-26 21:43:05,38.515789,-106.017174,1.57,2236,6,2.38,16,"F46538",411322.899068266,4263535.60847549
"53",2022-03-26 19:43:38,38.516617,-106.016182,2.75,2218,4,5.09,19,"F46538",411410.398449558,4263626.53242613
"54",2022-03-26 16:41:43,38.513218,-106.015991,2.41,2267,4,3.06,24,"F46538",411422.884721747,4263249.17576192
"55",2022-03-26 14:40:05,38.513443,-106.015938,2.06,2277,4,4.55,26,"F46538",411427.781230319,4263274.09203351
"56",2022-03-26 12:39:35,38.513222,-106.016037,1.67,2249,6,2.34,23,"F46538",411418.879111433,4263249.66391423
"57",2022-03-26 10:40:06,38.513317,-106.015884,1.88,2285,5,5.43,22,"F46538",411432.334823538,4263260.05836002
"58",2022-03-26 06:39:42,38.513348,-106.015755,2.23,2237,5,5.07,13,"F46538",411443.619657606,4263263.37412006
"59",2022-03-26 03:43:06,38.51339,-106.015549,2.15,2245,5,3.27,13,"F46538",411461.631188939,4263267.83641395
"60",2022-03-26 01:42:52,38.516834,-106.017319,2.16,2235,6,3.04,9,"F46538",411311.539989357,4263651.70755235
"61",2022-03-25 23:43:42,38.517761,-106.016968,5.34,2195,4,5.96,9,"F46538",411343.277552017,4263754.23456342
"62",2022-03-25 21:42:04,38.516857,-106.016228,1.66,2210,6,1.39,10,"F46538",411406.68231333,4263653.20852506
"63",2022-03-25 19:41:59,38.515209,-106.011856,1.5,2221,5,3.63,16,"F46538",411785.824726578,4263466.13555311
"64",2022-03-25 18:43:23,38.515816,-106.012726,1.43,2223,6,1.7,20,"F46538",411710.717309773,4263534.32637165
"65",2022-03-25 16:42:05,38.512955,-106.012001,2.25,2251,5,2.93,21,"F46538",411770.4319945,4263216.1577958
"66",2022-03-25 14:42:36,38.513023,-106.012314,2.79,2232,4,2.52,21,"F46538",411743.226008118,4263224.00368033
"67",2022-03-25 05:42:30,38.515728,-106.015503,1.86,2248,6,4.96,3,"F46538",411468.505383206,4263527.2301587
"68",2022-03-25 03:42:35,38.516048,-106.015549,1.53,2239,7,2.27,9,"F46538",411464.886990758,4263562.78348772
"69",2022-03-25 01:41:40,38.516003,-106.016388,2.54,2230,4,3.98,9,"F46538",411391.686433793,4263558.59780532
